id,question
1,My initial impressions are almost always right.
2,I trust my initial feelings about things.
3,I can usually rely on my gut feelings when it comes to judging people or situations. 
4,I believe in trusting my hunches.
5,I can usually feel when something is right or wrong even if I can't explain how I know.
6,I am a very intuitive person.
7,I can typically sense right away when a person is lying.
8,I am quick to form impressions about people.
9,I believe I can judge character pretty well from a person's appearance.
10,I often have clear visual images of things.
11,I have a very good sense of rhythm.
12,I am good at visualizing things.
